#2026-07-23 20:38:50 ---
#Time	01/进气温度/---	01/废气温度1，气缸列1/---	01/微粒过滤器之前的废气温度/---	01/颗粒过滤器中的废气温度，计算所得/---	01/气缸列1颗粒过滤器入口，温度传感器1，原始值/---	01/气缸列1颗粒过滤器出口，温度传感器1，原始值/---	01/颗粒过滤器，颗粒过滤器上游的相对压力/---	01/颗粒过滤器，油灰质量（克）/---	01/颗粒过滤器，负荷级/---	01/发动机转速/---	01/车速/---	01/微粒过滤器，压差/---	01/颗粒过滤器，测得的机油灰分负荷/---	01/颗粒过滤器，测得的积碳负荷/---	01/颗粒过滤器，计算出的积碳负荷/---	01/颗粒过滤器，水分负荷/---	01/相对负荷值/---	01/微粒过滤器，计算的碳微粒质量/---	01/颗粒过滤器，积灰量比例/---	01/颗粒过滤器，炭灰量比例/---	01/催化转化器温度，模型/---	01/催化转换器后的气缸列 1 氧传感器，计算所得废气温度/---	01/增压压力，实际值/---	
#Time	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	
#ms	℃	℃	℃	℃	℃	℃	hPa	g	-	rpm	km/h	hPa	%	%	%	%	%	mg	-	-	℃	℃	hPa	
20343	46	32.2	35.8	34.1	35.8	32.5	1.94	4.57	0	892	0	0.00	5.5	20.4	0.0	0.4	31.24	58	1.2758	2.0273	30	31.94	957.19	
20929	46	32.3	36.5	34.8	36.5	32.8	1.94	4.57	0	907	0	0.31	5.5	20.4	0.0	0.4	29.55	58	1.2758	2.0273	30	31.94	957.89	
21465	46	32.4	37.2	34.8	36.8	32.8	1.94	4.57	0	854	0	0.31	5.5	20.4	0.0	0.4	31.29	58	1.2758	2.0273	30	31.94	957.58	
22009	46	32.5	37.5	35.3	37.5	32.8	1.94	4.57	0	865	0	0.31	5.5	20.4	0.0	0.8	27.89	58	1.2758	2.0273	30	31.94	957.73	
22590	46	32.6	37.8	35.1	38.2	32.8	1.75	4.57	0	826	0	0.31	5.5	20.4	0.0	0.8	27.73	58	1.2758	2.0273	30	31.94	956.33	
23131	46	32.8	38.5	35.6	38.8	32.8	1.75	4.57	0	812	0	0.31	5.5	20.4	0.0	0.8	26.20	58	1.2758	2.0273	30	31.94	954.92	
23731	46	32.9	39.5	36.1	39.5	32.8	1.75	4.57	0	783	0	0.31	5.5	20.4	0.0	0.8	25.64	58	1.2758	2.0273	30	31.94	954.14	
24192	46	33.1	39.5	36.3	39.5	33.2	1.75	4.57	0	749	0	0.31	5.5	20.4	0.0	0.8	27.87	58	1.2758	2.0273	30	31.94	953.67	
24785	46	33.3	40.5	36.6	40.5	32.5	1.75	4.57	0	775	0	0.31	5.5	20.4	0.0	0.8	29.77	58	1.2758	2.0273	30	31.94	953.83	
25333	46	33.5	40.8	36.8	41.2	32.8	1.75	4.57	0	702	0	0.31	5.5	20.4	0.0	0.8	34.03	58	1.2758	2.0273	30	31.94	953.75	
